"scenario","run","seed","file_id","n","cycles","cycle_len","warm_len","Ne_good","Ne_bad","m_connected","m_isolated","seq_len","mu","samples_per_cell_present","samples_per_cell_timeseries","ts_step","do_gl_timeseries","do_pi"
"3peak",7,7111,"out_3peak_run07",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",8,8111,"out_3peak_run08",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",9,9111,"out_3peak_run09",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",10,10111,"out_3peak_run10",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",11,11111,"out_3peak_run11",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",12,12111,"out_3peak_run12",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",13,13111,"out_3peak_run13",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",14,14111,"out_3peak_run14",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",15,15111,"out_3peak_run15",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",16,16111,"out_3peak_run16",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",17,17111,"out_3peak_run17",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",18,18111,"out_3peak_run18",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",19,19111,"out_3peak_run19",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",20,20111,"out_3peak_run20",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",21,1001,"out_3peak_run21",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",22,2001,"out_3peak_run22",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",23,3001,"out_3peak_run23",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",24,4001,"out_3peak_run24",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",25,5001,"out_3peak_run25",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",26,6001,"out_3peak_run26",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",27,7001,"out_3peak_run27",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",28,8001,"out_3peak_run28",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",29,9001,"out_3peak_run29",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak",30,10001,"out_3peak_run30",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",1,1111,"out_3peak_river_run01",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",2,2111,"out_3peak_river_run02",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",3,3111,"out_3peak_river_run03",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",4,4111,"out_3peak_river_run04",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",5,5111,"out_3peak_river_run05",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",6,6111,"out_3peak_river_run06",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",7,7111,"out_3peak_river_run07",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",8,8111,"out_3peak_river_run08",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",9,9111,"out_3peak_river_run09",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",10,10111,"out_3peak_river_run10",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",11,11111,"out_3peak_river_run11",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",12,12111,"out_3peak_river_run12",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",13,13111,"out_3peak_river_run13",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",14,14111,"out_3peak_river_run14",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",15,15111,"out_3peak_river_run15",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",16,16111,"out_3peak_river_run16",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",17,17111,"out_3peak_river_run17",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",18,18111,"out_3peak_river_run18",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",19,19111,"out_3peak_river_run19",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",20,20111,"out_3peak_river_run20",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",21,1001,"out_3peak_river_run21",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",22,2001,"out_3peak_river_run22",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",23,3001,"out_3peak_river_run23",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",24,4001,"out_3peak_river_run24",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",25,5001,"out_3peak_river_run25",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",26,6001,"out_3peak_river_run26",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",27,7001,"out_3peak_river_run27",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",28,8001,"out_3peak_river_run28",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",29,9001,"out_3peak_river_run29",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"3peak_river",30,10001,"out_3peak_river_run30",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
